Marqaa gubataa, nama hubataatu arga.
Maraataan, dubbii hin wallaalu.
Maraataani, akka garaatitti dubbata.
Maraataaniif roobni, toora magaalaa jaalata.
Maqaa laaltu ambisi, garaa laaltu fixi.
Maqaa midhaaniitiifuu, farsoon yaa qallatu.
Maqaa, ni bitan malee hin gurguran.
Maqaan baduu mannaa, mataa baduu wayya. 
"Maqaan baduurraa, mataan baduu wayya" jedhe namichi.
Maqaan ba'eef karaan ba'e, tokko.
Maqaan namaa baduu mannaa, mataan baduu wayya.
Maqaan, fardarra kuta.embed
Maqaan hin caphu hin baqaqu, ni bada malee, 
Maqaan baduu mannaa, mataan baduu wayya. 
"Maqaan kiyya baduurra mataan kiyya cituu wayya," jedhe goondaan.
Maqaan nama baduu mannaa, mataan baduu wayya.
Mana, manarratti hin jaaran.
Mana molokseetti, siissite.
"Mana niitii tiyyaa natu beeka, lagatti gadi naa barbaadaa" jedhe namtichi.
Mana onaarra, niitii qalbii onaa wayya. 
Mana tokkoo lubbuutu koqa, mana tokkoo okkoteetu koqa.
Manatti hafteerra, mana heerumteeti deebitee woyya.
Mana ulfaa dhaquurra, mana ulfinaa dhaquu wayya.
Mana waraabessaatii, foon liqii hin barbaadan.
Mana dhiirri baayyatte, karri banaa bula. 
Mangudhoodhaan, ni seete malee ni balleessite hinjedhan.
Manni 'aaru, hin gubatu.
Manni abbaan gube, iyya hin qabu.
Manni ba'ee, nama hin himu.
Manni bahee, nama hin himu.
Manni gogaa harreetiin ijaarame, yammuu
waraabessi yuusu jiga,
Manni gogaa harreetiin ijaarame, yoo bineensi yuusu nan jiga nan jiga jedha.
"Manni gowwaa 'eessa" jennaan, "karaarra" jedhe. 
"Manni gubatus gubataa 'oolus, kiyya gubatumaen jette okkoteen.
"Manni gubatus dhiisus, kiyya gubbaan gubatuma"
Manni hamaa daha malee, hamii hin dahu. 
Manni hulaan birbirsaa, ganna danqarsaa hin barbaanne.
Manni ija dawa malee, gurra hin dawu.
Metil gadheen, biyyaa hiyyoomsa. 
Mootiin horii maalii ormaafi goromsa.
Mootiin kanniisaa, nama hin ciniinu. 
Mootiin lama, biyya tokko keessatti hin mo'u. 
Mootiin namaa, qalbiidha.
Mootiin nadheenii, bishaan ol yaafti. 
Mootummaan dubartii, bishaan ol yaafti. 
Mootummaan dubartii, karra cufa 'oolcha.
"Moo yaa namaa," jedhe daljeessi.
Mooyyeen muktumaa tuffatti, muktumaan mooyyee tuffatti.
Morka fardaan utaala" jettee, gaangeen harree dhiittee.
"Morka leencaatan bookkisa" jettee, bookeen hudduudhaa dhodhootee.
Morka taffiidhan utaala jetteeti, injiraan luqqeettuudhaa cabde.
Maraataan, kafana ofitti hin qabu.
Maraataan lamaan, walitti fayyaadha.
Maraatanii biyya hin bulchan, mari'atanii malee.
Maratanii yoo rafan, kan saaqee nama argu hin jiru. 
Maraatan sanyoo heeruman, fayyan jalaa galan.
Maraattuu, keessi gamna.
Maraatuun, abbaaf sirna.
Maraatuun, abbaadhaa sirna.
Maraatuun jecha beekti malee, waan jette hin beektu.
Maraachuun, abbaadhaa sirriidha.
Mari'ataan, gowwaa hin qabu.
Mari'ataanilti malee, maraatanii biyya hin bulchan.
Marihataan, gowwaa hin qabu
Mariyataan, gowwaa hin qabu, 
Marqaafi aduun, dhukkuba hin qabani.
Midhaan hin daakne aduutti baasuun, hindanggoodhaafi
Midhaan hiyyeessaa, firee gurguddata.
Midhaan hiyyeessaa, firii guggudatti. 
Midhaan hiyyeessaa, mataa gurguddata.
Midhaan ijoolleen bukkessite, irbaata hin ga'u.
Midhaan iyyeessaa, firee gurguddata. 
Midhaan iyyeessaa, mataa gurguddataba
Midhaan iyyeessaa, mataa gurguddatti.
Midhaan, kan dura faca'e haaman.
Midhaan kadhaatiifi qalbiin gorsan, bakka hin baatu.
Midhaan liqaatiifi qalbiin gorsaa, bakka hin dabrtu.
Midhaan liqeessuu mannaa, kafana liqeessu wayyaa.
Midhaan malee, 'eeleen duwwaa hin iyyitu.
Michuun raafuu, raafuma.
Michuuni saree, gandaan nama dhaqxi.
Michuun saree, gandaan nama labdi.
Michuun saree, gandaan nama dhaqa.
Michuun saree gandarraan nama deemtii, michun allaattii waaqarraan nama korti.
Michuun saruuxee, saruuxuma.
Mishingaan natu caalaa morma, simbiraaf taati.
Mishingaan, osoo gubatuu kolfa.
Mishingaan, otuu gubatuu kolfa.
"Moofaa gadhiisii haaraa qabadhuu," jette qamaleen.
Moora abbaan gara tolutti harkisa, innuu bakka dhalateef didaa.
"Moronni moroda muraa" jennaan, "qarri dooma ni qaraddada" jedhe.
Madaan hiyyeessaa, madaa bineensaati. 
Madaa ni fayyan, jecha hin fayyan. 
Madaan tokkoo, tokkarratti diimina.
Madaa tokkootti muka dhawwun, nama hin dhibu.
Makaraan fuuloo saree irratti dhiisan, ni nyaatti, irraa baasan ni kaatti.
Makmaaksi, koobaa dubbiiti.
Makmaaksi, haasawa hin ta'u.
Mala, abbaatu beekkata.
Mala, abbaatu malata.
"Mala, abbaatu mala❞ jette qamaleen.
Malaan, bishaan daakan.
Malaan, bishaan waadan.
Malaan, bishaan wadu.
"Malaan, duulan" jette hindaaqqoon.
"Malaan, duulan" jette lukkuun.
Midhaan mana duubaa malee, midhaan gaara dhuuba nu hin godhin.
Midhaan mukaa, muka, bakka ofii hin darbu.
"Midhaan nuu biti," jennaan dimbilaala bittee
Midhaan ofii hin nyaanne, sareerraa hin 'eegan.
Midhaan ofii hn nyaanne, sareerraa hin dhoowwan,
Midhaan soogidda hin qabne, nama gosa hin qabne.
Midhaan warra gowwaa, bona bona nyaatan.
Midhaan warra gowwaa bona nyaatan, midhaan wara gamnaa ganna nyaatan.
Midhaan warra gowwaa bona nyaatan, han warra gamnaa ganna nyaatan.
Midhaan warra gowwaa, kolfaa nyaatu.
Midhaan dhume qusatteeti, lafa bari'e rafti.
"Michooma baddee, dheeffaa hin badiin" jette qamaleen.
Milmoon han ofii seentu malee, han ishii seenu hin argitu
Milmoon han ofii seentu malee, han ishii seentu hin agartu.
Milmoon kan ufii seentu malee, kan ishii seenu hin agartu.
Milmoon tan ofii seentu malee, tan ishiitti seentu hin agartu.
Mimiiccatan, bifa jijjiirratan.
Mimmixa harkaan dhaabaniiti, deebi'ee ija nama guba.
Mimmixa harkaan dhaabantu, deebi'ee ija nama guba.
"Minjee moluu, dhirsa moluu konkona tolu" jetti intalti
Mirgaanis koran bitaanis koran, walgeenyi kooruma.
"Mataan nan du'iin," jette hantuunni.
Mataan oggaa namarraa luqa'uf dubbiin oggaa nama jalaa bahu, hin beekamu.
Mataan sa'a abaaree, minniirra taa'a.
"Mataan dhugan," jette lukkuun.
Mataa tikfatanii, maqaa hin dagatan.
Mee dura, kurupheen-foon haa taatu.
"Mee, fudhadhuu nyaadhu yaa qoonqoo" jette beeloftee hattee marqattee.
Meetiin gandaa, nama hin miidhayisu.
"Mee xinnooshii ala turi, anuu diina kee sirraan dhoowwa" jedhe waraabessi harreedhaan.
Meeshaa itti nyaatan, hin cabsan.
Meeshaa wal fakkaatu, wal bira fannisan.
Meeshaa wal fakkaatu, wal bira fannisu.
Meeshaa wal fakkaatu, wal biratti fannisu.
Michoomni kaboota guurtuu, amma waaqni roobutti.
Michuufi asmaraatu, abbaa dhiba.
Michuu gaarii, abbumatu beeka.
Michuun allaattii mukaan nama kora, kan saree gandaan nama dhaqa.
Michuun allaattii mukaan nama kortii, michuun saree gandaan nama labdi.
Michuun allaattii mukaan wal korteeti, michuun saree dhagaa wal arraabsifti.
Michuun gantuu, gantuudha.
Michuun hallaattii mukaan nama korti, michuun saree gandaan nama dhaqxi.
Michuuniifi asmaraan, abbaa dhiba.
Michuuniifi asmaraan, abbaa dhibdi.
Michuun kaboota guurtuu, hamma waaqni roobutti.
Michuun qamalee, mukaan nama labdi.
"Murtii abbaatu mura, mala abbaatu malata" jette qamaleen.
Muujaleefi cittoon, hiyyeessatti roorrisan.
Muujaleeniifi cittoon, iyyeessatti roorrisan. 
Muchatu afuri malee, 'aannan tokkichuma.
Mataa leencaa, sareen hin arraabdu. 
Mataa leencaa, sareen in arraabdu.
"Mataan fayyaa," jette injiraan."
Mataan, fokiftuu hin qabdu.
Mataan gara hudduu, huduun gara mataa.
Mataan hin dulloomu harri baasa malee, garaan hin dulloomu onnee kuusa malee.
Mataan, karaa ba'e hin wallaalu.
Mataan, karaa bahe hin wallaalu.
"Mataan koo fayyaa," jette injiraan.
"Mataan koo yaa citu malee, maqaan koo hin badiin" jette goondaan.
"Mataan kun hin dha'amu," jette shammaaneen gatii nyaattee.
"Mataan kun hin dhoofsisu," jette niitin marqaa nyaattee quufnaan.
Muka tokkorraan, tokko koran.
Muka warri biyyaa ulfeeffaatu, alagaan qoraan irraa cabsata.
Muki tokko, hin 'aara malee hin boba'u.
Mukni alaalaa, dallaa nama hin ta'u.
Mukni daraareef, frii hin kennu.
Mukni daraareef, ija hin baasu.
Mukni daraareefi, firii hin dhalu 
Mukni duudaan bishaani.
Mukni halaalaa, dallaa namaa hin tahu.
Mukni hin dadhabne, sinbirri irratti wal nyaatti.
Mukni mukarra taa'u, hundee hin qabu.
Mukni tokkichi, kobaa hin bobayu.
Mukni tokko, kophaa hin boba'u.
Mukti abba hin qabdu, akkawoodhaaf boochi.  
Mukti abbaan of kaa'e, dhidhiibbaa hin qabu.
Miilli, karaa garaan jiru deema.
Miidhagaaf, biishaanu ala bula.
Miidhagaaf miidhama, wal biraa hin dhaban.
Midhaga jaldeessaa, kamiyyuu hin filatan. 
Miidhaga keessa, miidhaatu jira.
Mildhaga keessa, miidhamnijira. 
Miidhaga keessa, miidhamni dhufaa.
Miidhaga laalanii, miidhama hin yaadan.
Miidhuuf, saree ija xafa'a.
Miidhuuf, saree arraba xafa'a.
Miidhu saree, afaan xafa'a.
Milmoon an ofii seentu malee, kan ishee seenu hin
Milmoon dabduun, adda hin waraantu.
Milmoon han ishii seentu hin beektu, kan ufii
Muka jalaan ol koru malee, gubbaan gad hin koran
Muka jige, qottoon itti baay'ata.
Muka jigetti, qottoon baayyata.
Muka jigetti, qottoon baayyeedha.
Muka jigetti, qottoon baayyatti.
Muka jigetti, qottoon birriidha.
Muka jigetti, qottoon hin baayata.bu
Muka jigetti, qottoon itti bay'ata.
Muka jigetti,qottootu baayyata.umbbula
Muka jige, qottootu itti baayyata. tel
Muka koruun nama hin dhibu, bu'uun nama dhiba.
"Muka maalii" jennaan, dhoqonuudha jedheen.
Muka, mukarran koran.
Mukarraan muka koran, namarran nama baran.
Mukti abbaan of kaaye, dhiibbaa hin qabu.
Mukti alaalaa, dallaa namaa hin ta'u.
Mukti damee hin qabne, sitti hin jigiin.
Mukti tokkichi, kophaa hin boba'u.
Mukti tokko, kophaa hin boba'u.
Muktumaan mooyyee tuffattee, mooyyeen muktumaa tuffatee.
Muktumaan mooyyee tuffatti, mooyyeen muktumaa tuffatti.
Muran, malaan dhiiban.
Muratteen, jiila dheeffite.
Muratteen, jiila dheechiti.
Murtii tafkii, bacoon utaalti.
"Murtil abbaatu mura, mala abbaatu bara" jette qamaleen.
Maal naan jedhaniin fuundura deemti, yaa jedha duuba deemti.
Maal qabdii, sareen udaan qabbaneefatti.
"Maaltu, akka ja kiyyatti naaf kajeellata" jette sareen magaala deemte.
"Maaltu, akka ija tiyyaat naaf kajeela" jette sareen
"Maaltu, akka koo na kajeela" jette sareen.
"Maaltu hanqate" jette tan qaawwaan ilaaltu.
"Maalumattan tufa jennaan, gara galtuudha," jedhe.
"Maa na kofalchiisa," jette qamaleen.
Maanguddoodhaan hin seete malee hin balleesite hin jedhan.
Maasaa ballaa, afur facaasa.sun
"Maasaa dallaa jalaa, niitii gabaabduu ayyaantuutu argata" 
Maa akka anaa kana martee, irra hin taa'iin. 
"Maa ana hin ta'iin," jette duuti hirriibaan.  
"Maa ana hin ta'iin," jette duuti irriibaan. 
Maaf gadi deemta, akka mataa goraa.  
Maaf dhangalaata, akka bishaan waaltaa. 
Maa kofalta, akka gowwaa areera quufee. 
Maa kokkolfitaa, akka jaartii qeerroo jaalattee.  
Maal arguuf dukkanatti ija baasan.
Maal goona garuu, kan du'e hingalu.
"Maaliif kofalta" jennaan, "ilkaantu na adiidha, rifeensatu na gurraacha" jette jaartiin.
"Maaliin nu caalan, hoo gaafaa malee" jette harreen qotiyyoon.
Maal jedhaniin biyyaa baateeti, haa jedhaniin biyyatti bafte.
Meeshaa wal fakkaatu, wal maddii fannisan.
Mee shaashaa hin jedhiin, akka midhaan buggee keessa.
Mi'a wal fakkaatu, wal bira fannisu. 
Mi'a wal fakkaatu, wal biratti fannisan. 
Mi'a wal fakkaatu, wal birratti fannisu.
Mi'a wal fakkaatu, wal maddii fannisu. 
Micayyoon bareeddee jennaan, ija babaafte. 
Mi'eeffataan, bukoo liqeeffata.
Mi'eeffataan, hin liqeeffata.
Mi'eeffataan, midhaan worra soddaa liqeeffata.
"Mi'eeffataan na arraabi," jedhe soogiddaan. 
Mi'eessan malee, mi'aan hin mi'ooftu. 
Migira Waaqni abaaree, giingilchaa godhatan, kan Waaqni 'eebbisee, elemituu godhatan.
Mixiin kan lafti ba'aa hin dadhabiin, ofii wal dadhabdi.
Mixiin kan lafti ba'aa hin dadhabne,m ofii wal dadhabdi.
"Mixiin ofirra jira," jette dhagaa baatti.
Mixiin, wal qabatteeti laga ceeti.
Mixiirraa, morka hin barbaadan.
Midhaan liqeeseeti, kadha deema.
Midhaan liqii, galabaa hin taatu.
Midhaan bulchani malee, dalagaa hin bulchani. 
Midhaan dallaa jalaatiif nama gabaabaa,ayyaantuutuu argata.
Midhaan dallaa jalaatiif niitii gabaabduu, ayyantuutu argata.
Midhaan gowwaa bona nyaatani, midhaan gamna ganna nyaatan.
Mirgaanis bitanis yaabbatan, wal geenyi kooruma. 
Mirgaanis deeman bitaniis deeman, wal geenyi kooruma.
Mirgaan kori bitaan kori, walgeeny kooruma. 
Mirgaaniis koran bitaaniis koran, walgeytiin kooraadha. 
Mirgaanis kortu bitaanis kortu, walgeenyi kooruma. 
Mirgaanis koru bitaanis koru, wal geenyi kooruma.  
Mirgas koran bitaas koran, wal gahiin kooraadha. 
Mirgas koran bitaas koran, walgeenyi kooruuma. 
Mirgaanis yaabbattu bitaanis yaabbatuu, walgeenyi kooruma.
Mirgaan yaabbadhu bitaanis yaabbadhu, walgeenyi kooruma.
Misingaan misingaan caala jetteeti, sinbiraa taati. 
"Missira facaasuun gowwummaa, atara facaasuun beekuma ammamii?", jette gamaleen.
Maasaa irraa ba'an, talbaa facaasan.
Maasaa jedhii garbicha jedhii, dhawataa gadi deema.
Maasaa karaarraa, shumburaa hin facaasan, nadheeniif garaa hin himatin.
Maasaa karaarraa, shunburaa hin facaasan, dubartiitti garaa hin himatin.
Maasaa namaatii mannaa, qorxobbii ofii wayya.
Malarratti, dhuufuun daalattidha.
Mala dhabaan, akkoo mala gaafata.
Mala dhabnaan, daakuun bubeetti hirkatti.
Malkaan ceesisuu hin dhowwu safuudhaaf itti irreefatan malee.
Madaan, abbaarra jiru dhukkuba.
Madaan 'eeboo ni fayyaan, madaan arrabaa hin fayyaan.
Migirri 'eebbaa elemtuu taati, migirri abaarsaa gingilchaa taati.
Migirri lagaa gubannaan, gingilchaan manaa boosse.
Migirri gaararraa gubannaan, gingilchaan godaa birmatte.
Miiccaan wayyaa addeessa, odeessaan dubbli fakkeessa.
Miiccaan wayyaa addeessa, odeessaan oduu fakkeessa.
Miiccaa 'oolanillee, waaroon hin 'addaattu.
Miccaa 'ooli, garaachi hin qulqullaawu.
Miila fageeffatan, galaa qopheeffatan.
Milla lama qabna jedhanii, muka lama hin koran.
Miila lama qabaataniif, muka lama hin koran.
Millayyuu hin qabduu, laboobaa dharraati.
Mataafi dhiirri, jajjabaatu qoricha.
Mataa gamisa addaatanii, gamiisa hin dhiisan.
Mataa, gara fakkaatutti haadan.
Mataa gartokkee haadanii, gartokkee hin filatan.
Mataa, gara fakkaatutti haadu,mamu
Mataa, gara fakkaatutti dhahan.
Mataa goggogaa hin haadan, fira du'e hin yaadan.
Mataa hiyyeessatti, haaduu baran.
Mataa hiyyeessatti, haaduu baru.
Mataa iyyeessaatti, haaduu baran.
Mataa iyyeessaatti, haaduu baru.
Mataan jiraatu, sabbata maran.
Mataa jirurratti, qarree qoratan.
Mataa jirurratti, shurrubbaa dhahan,
Mataa jirutti, shaashii maran.
"Mataa kiyyaan bada malee, maqaan abbaa kiyyaa hin badu" jette goondaan.
Mucaa rafe dhungachuun, galata dhabuudha 
Mucaa warri jaalatu, ormi furri irraa fuudha.
Mucayyoo ganama sirba shii jajan, galgala ulfa shiijaju.
Mucayyoon bareeddee jennaan, ija babaafte.
Mucuca arrabaarra, mucuca miilaa wayya.
Mudaman malee, raada hin qalani.
Muddaman, raada qalu.
Muddamne jedhanii, fardarraa bu'anii hin kaatan.
Muddamu malee, sibiilli udaan hin buusu.
Mufataa abbaa warraa, cireen dhiyana galgalaa
Mufataa, dhiyanni irbaata.
Mugaatiifi dhugaatiin, nama miiti. 
Muka abbaan of kaa'e, ormi namatti dhiiba.
Muka abbaan ofitti suuqe, dhiibaa hin qabu.
Ofumaa dhaabaniiti, barbareen nama guba. 
Ofuma sirbaa ka'an goofareen hin argamu. 
Oggaa aduun jiru kaadhu, oggaa abbee jiru nyaadhu.
Oggaa hojjattu garba fakkaadhu, oggaa nyaattu mootii fakkaadhu.
"Oggaa humna qaban sagaliin lolan, oggaa humna dhaban sagaleedhan," jette jaartiin.
Oggaa jedhan dhageechee, lukkuun of huutee duute.
Oggaa jedhan dhageecheeti, hindaaqqoon of huutee duute.
Oggaa kaatan kan hidhatan, oggaa kaatan hiikkata.
"Oggaan guddadhu xinnaadheetan, oggaan xinnaadhu gudadhe," jette buchillaan saree.
Odoo waan siin jedhan beektee, huuba wajjin hin nyaattu.
. Odoo waan dhufu beekanii, galgalli waa hin ta'u.
Odoo waan siin jedhan beektee, kan sii kennan hin nyaattu yaa saree.
"Odoo dhadhaa qabaannee, hudduun nun qunca'u," jedhe jaldeessi.
"Odoo dhadhaa qabaannee, maaf hudduun nu luqqa'a," jedhe jaldeessi.in
"Odoo dhadhaa qabaannee, maa hudduun nu luqqa'a," jedhe daljeessi.
"Odoo nyaatu kaataa," jennaan," odoo argu gaafataa," jedhe.
"Odoo nyaatu kaataa," jennaan, "odoo beektu gaafattaa," jedhe.
"Odoo nyaadhu jedhe, akka abbaa kiyyatti na kukkuta," jette qomaaxan.
Niitii duuteefi niitii deemte, mormi lama.
Niitiifi dhirsi, waliif kafana.
Niitii gaariin, dhirsaaf kafana.
Niitii gabaabduu fuudhan, gabaatti nama jalaa baddi.
Niitii irraa kahan, gabaatti dhaanan.
Niitii jaallataniif, marqaa alaanfatu.
"Niitii jechuun niitii ganamaa, dhirsa jechuun dhirsa ganamaati," jedhe Oromtichi.
Niitii lama hedduu, gabaa hin ergan.
Niitiin, abbaatti birriidha.
"Niitiin ciniinfannaan, dhirsaan hinkakatiin," jetteen.
"Niitiin ciniinfataa, dhirsaan hin kakatiin," jetten.
"Nittiin diina," jedha kormaan hindaanqoo.
Niitiin gaarii, dhirsaa afaani.
Niitii of jajju, rigaan balaa qaba.
Niitii waa lama eddu, gabaa hin ergin.
Niitli waa lama hawwitu, gaba hin ergan.
Niitii waa lama heddu, gabaa hin ergiin.
Niitii waa lama heddu gabaa hin ergiin, yookiin mi'a gatti yookiin ofiif baddi.
Niitii waan lama yaaddu, gabaa hin ergiin, yookaan mi'a gatti yookaan ofiif baddi.
Niitii qalbiin baayyee, gabaa hin ergan.
Niitii qalloo, yaa sirba ishee.
"Niitiitu naaf hin baane," jedhe gowwaan niitii ajjeesce.
Niitiidhaaf yoo nahan, shuummoo nyaatan.
Niitiidhaa yoo nahan suummoo nyaatan.
Niitii dhirsa moote, funyaan gaanfa qaba.
Ni tura malee, haqni hin dhokatu.
Oggaa ofii muran, hin xinneessan
Okkotee beelaa, abbaatu jala tuqata.
Okkoteen bukoo laga ceenaan okkotee dammaa of gooti.
Okkoteeniifi qonqoon garuma ofiititti.
Okkoteen mukaa, namaafis hin taatu ofiifis hin taatu.
Okkoteen mukaa, ofiifis himbaatu namas himbaastu.
Okkooteen mukaa, namaafi ofiifis hin taatu.
Okkoteen mukaa, ofiisee hin baastu tan itti godhataniis hin baastu.
Okkoteen, ofiifuu biyyeedha dhagaatti irkattee oriiti.
Okkoteen quuftee, 'eelee bishaan kadhatti.
Okkoteen quuftee, dhadhaa irraan lolaati.
Odoo haati ciiftuu, buchullaan saree garaadhaa dutti.
Odoo haati ciiftuu, ilmoon garaadhaa dutti.
Odoo haadha hin bariin, akkawoo jaalatti.
Odoo haadha hin bariin, akkoo jalatte.
"Odoo hamman badu beekanii, nan qotanu," jette xaafiin.
"Odoo hamman badu beekanii, nan facaasan jette," xaafiin.
Odoo harkaan hin qabiin, doobbiin baala.
Odoo hin ajjeesiin gaammee filuu, odoo hin hubatiin oduu baay'isuu.
"Odoo hin ajjeesiin, gofaree," jedhe.
Odoo hin argiin, doobbiin baala.
Odoo hin fagaatiin dhiwootti, odoo hin gogiin jiidhaatti.
"Of jaja dhiisii, qaama na qabadhu," jette waraabessi.
Of jajjuu antuutaa, 'eegeen lafa hin gawu.
Of jajjuu antuutaa, 'eegeen lafa hin geessu.
Of jajjuu, daabeen gurra hin geechu.
Of jajjuu daljeessaa, daabeen wal hin geessu.
Of jajjuu, gandi hin jaju.
Of jajjuu hantuutaa, 'eegeen lafa hin ga'u.
Of jajjuu hantuutaa, 'eegeen lafa hin gawu. 
Of jajjuu hantuutaa, 'eegeen lafa hin gayu. 
Of jajjuu hantuutaa, 'eegeen lafa hin geessu.
Of jajjuu hantuutaa, 'eegeen lafa hin geechu. 
Of jajjuu hantuutaa, 'eegen lafa hin xuqu.
Of jajjuu hantuutaa, 'eegeen lafa hin xuqxu. 
Of jajjuu hiyyeettii, okkoteen bukoo lama.
Of jajjuu, manni karaa keessa.
Odoo dullachi jiruu, jabbiin duute.
Odoo farda hin bitiin, dirree bite. 
Odoo farda hin bitiin, dirree bitte.
Odoo farda hin bitiin, gola hin ijaaran.
Odoo farda hin bitiin, gola hin ijaariin.
Odoo farda hin bitiin, gola ijaare.
Odoo farda hin bitiin, gola ijaarte.
Odoo farda hin bitiin, gola ijaaru.
Odoo foon hin argiin, moorri afaan na guute.
Odoo foon hin argin, muraan afaan na guute.
Odoo gaangee hin bitiin, luugama bitan. 
Odoo ganamaan haranii, balballi raaree hin ta'u,
Odoo ganamaan haranii, golli raaree hin ta'u.
Odoo ganamaan laalanii, galgalli waa'ee hin ta'u.
Odoo gubattuu, misingaan ofittuu kofalti.
Odoo haajaa hin qabaatiin, sareen gabaa baati.
Ni oriinaaarra, garam oriinaatu dura.
Ni sobdi malee, warri waaroo ni dhaamotti.
Ni ta'a jennaan harre qalle, hin ta'u jennaan baafne ganne.
Ni taati jennaan harree qalle, hin taatu jennaan harree ganne.
Ni taati jennee harree qallee, taa'u dinnaan baafnee gannee.
Niitii abbaa hin qabne, hundatu dharra'a.
Niitii abbaa warra hin qabne jedhi, farda sakaallaa hin qabne jedhi, tokko.
Niitti aljeeseeti, ganda soddaatti bagate.te
Niitii daalattii, dhirsi harmee se'a.
Niitii deegaa, fooniif maraacha.
Niitii deessuufi maasaa dallaa jalaa, hin tuffatan.
Niitii dullattii, dhirsi haadha se'a.
"Na sobuu mannaa, na gobuu wayya" jetteergattuun.
Na sobuurra, na gubuu wayya.
"Na sobuurra, na gobuu wayya" jedhe namichi. 
Natti ajaa'e jedhanii, quba ofii muranii hin gatan.
"Natti hin booressiin," jedhe waraabu harreedhaan.
"Natti hin booressiin," jedhe woraabessi harreedhaan.
"Natti mi'oofnaanan, biddeen torba fixe" jette jaartiin.
"Natu caala," jette niitiin boodaa mooyyee qoraastee.
Natu farda se'ee, harreetti oka'a haame.
Nadha jabbiifi jaalala durbaa, warri itti hin beeku.
Nadheen dubbii lama hin beektu, yoo tokkicha malee.
Odoo hin gubiin, doobbiin baala.
Odoo hin qabaatiin liqeessitee, odoo hin fudhati duute.
Odoo hin qabne liqeessitee osoo hin fudhatiin duute.
Odoo hin qaliin, muraan afaan na guute
Odoo hin rakkatiin, gaayyaa liquefattaa. 
Odoo hin rakkatiin, sareen gabaa baati. 
Odoo hin roobiin, hunduu manaa.
Odoo hin tuqiin, doobbiin baala.
Odoo hin dhaliin, fardi kooraa baata. 
Odoo hin dhukubiin aada, huummon.
Odoo horlin hin galiin, gaadduun mooraa guutte
